Transaction_ID,Employee_Level,Department,Client,Merchant,Category,Amount,Date,Justification,violation,reasoning,execution_time_sec
TXN-1100,Executive,IT,Internal / No Client,Kestrel & Vine,Entertainment,169.44,2026-06-21,Dinner for 2,None,"The Executive employee is eligible to submit an Entertainment claim, and the per-person cost of $84.72 is below the cap of $100. No policy violations were found.",29.98
TXN-1101,Director,Operations,BlueWave Logistics,DB Bahn,Travel,249.21,2026-06-22,"2-day onsite client engagement; covers flights and 1 night hotel, meals billed separately",None,"The transaction is eligible under policy and does not exceed any relevant caps or conditions. The justification provided matches the documented business purpose, supporting a legitimate claim for travel expenses.",28.36
TXN-1102,Junior,Engineering,Internal / No Client,Slack,Software,294.71,2026-06-18,"Software subscription - design/collaboration tool, monthly seat renewal",High,"Junior employee attempting to claim Software & Subscription category, which they are not eligible for. The claimed amount ($294.71) exceeds the per-person cap of $50/seat/month.",26.15
TXN-1103,Senior,Finance,Internal / No Client,Vapiano (private room),Entertainment,480.76,2026-06-27,"Organized team party 17 of us, casual Friday team party",High,"The Senior employee is not permitted to organize or submit team party claims, making this transaction a High-level violation regardless of the per-person cost exceeding the cap.",36.81
TXN-1104,Executive,Marketing,Nova Retail GmbH,Hilton Restaurant,Entertainment,95.00,2026-06-14,"Dinner with client team (1 person, no guests) to finalize Q3 proposal",None,"The Executive-level employee is eligible to claim the 'Entertainment' category, and the claimed amount of $95.0 is within the per-person cap of $100 for Entertainment claims.",30.6
TXN-1105,Senior,Marketing,Nova Retail GmbH,Cash Withdrawal,Miscellaneous,442.28,2026-06-05,Trip cost,None,The Senior employee is eligible for the Miscellaneous category and the claimed amount ($442.28) is below the cap for Seniors ($600). There are no indications of structural abuse or policy non-compliance.,34.39
TXN-1106,Manager,Sales,Internal / No Client,Staples,Office Supplies,95.27,2026-06-05,Replacement keyboard and mouse for desk setup,None,"The transaction is compliant with policy as it falls within the allowed category for a Manager, has no cap violation, and does not exhibit structural abuse.",29.13
TXN-1107,Manager,IT,Internal / No Client,Cafe Einstein,Meals,33.60,2026-06-25,Solo lunch while working late on month-end close,None,"The transaction meets all eligibility criteria, and the claimed amount is below the per-person cap for Meals at the Manager level.",29.86
TXN-1108,Manager,Sales,Internal / No Client,Local Pub Berlin,Entertainment,1684.31,2026-06-20,"Team party for Sales - 43 of us, Q2 close celebration",High,"The Manager-level employee submitted an Entertainment claim with a per-person cost exceeding the $100 cap, and they lack hosting/party rights for internal events as per Section 6.",32.98
TXN-1109,Executive,Operations,Internal / No Client,Five Guys,Meals,34.56,2026-06-12,Breakfast meeting with manager to review weekly priorities (2 people),High,"The Executive employee submitted a Meals claim with 'Internal / No Client', which falls under Internal Entertainment/Team Event category, not eligible for Executives, regardless of the amount being below the cap.",30.83
TXN-1110,Junior,HR,Internal / No Client,Cafe Einstein,Meals,97.82,2026-06-28,Project discussion,High,"Junior employee attempting to claim Meals category, which is explicitly restricted at their level. Amount below cap but policy non-compliance results in High violation.",26.31
TXN-1111,Junior,Finance,BlueWave Logistics,Unknown Vendor,Miscellaneous,51.56,2026-06-17,SIM card / local data plan for business trip,High,"Junior employee attempting to claim Miscellaneous category, which is not eligible for their level. Claim amount ($51.56) is below the cap, but eligibility rules take precedence over caps.",33.65
TXN-1112,Junior,Operations,BlueWave Logistics,The Grand Bar,Entertainment,324.12,2026-06-29,Dinner with client team 3 of us to finalize Q3 proposal,High,"The Junior employee submitted an 'Entertainment' claim exceeding the per-person cap of $100, violating policy HE-FIN-004 v3.1 merged.",29.51
TXN-1113,Senior,HR,Meridian Health Systems,Zoom,Software,156.52,2026-06-22,Software subscription - used for client project deliverables,None,"The Senior employee is eligible for Software claims, and the transaction amount ($156.52) is below the category-specific cap of $50/seat/month. The justification provided ('Software subscription - used for client project deliverables') aligns with policy requirements.",30.71
TXN-1114,Executive,Operations,Internal / No Client,McFit,Miscellaneous,81.84,2026-06-27,Personal training session,Medium,"The transaction is for a Miscellaneous claim by an Executive with no specific client attached, which implies it's an internal event. Although the amount ($81.84) is below the cap, the lack of a clear business reason and client/project reference makes this a Medium violation.",43.27
TXN-1115,Junior,Engineering,Meridian Health Systems,Notion,Software,143.87,2026-06-22,Software subscription - annual license renewal for the department,High,"Junior employee attempting to claim Software subscription, which is not permitted under policy (Section 7.4).",27.47
TXN-1116,Senior,Finance,Meridian Health Systems,Cash Withdrawal,Miscellaneous,21.80,2026-06-06,SIM card / local data plan for business trip,None,"The transaction meets all eligibility and cap requirements for a Senior employee submitting a Miscellaneous claim, with a valid client attached and a legitimate justification provided.",35.98
TXN-1117,Executive,Marketing,Internal / No Client,Cafe Einstein,Entertainment,270.80,2026-06-09,Team lunch (4 people) to plan next quarter's roadmap,None,"The transaction is an internal event, and the Executive employee has hosting/party rights. The per-person cost of $67.7 is below the cap of $100, so there are no policy violations in this case.",34.32
TXN-1118,Manager,HR,Internal / No Client,Staples,Office Supplies,296.16,2026-06-02,Replacement keyboard and mouse for desk setup,None,"The transaction is compliant with the policy, as it falls within the allowed cap and there are no indications of basic role permissions or hosting rights issues for this transaction type.",31.23
TXN-1119,Junior,Engineering,Internal / No Client,Vapiano,Entertainment,59.16,2026-06-08,Team lunch a group of 2 to welcome a new team member,High,"Junior employee lacks basic role permissions for submitting 'Entertainment' claims, making this a High-level policy violation.",30.43
TXN-1120,Senior,Sales,Internal / No Client,Büro König,Office Supplies,97.56,2026-06-14,Monitor for hybrid home/office setup,None,"The transaction is compliant with policy HE-FIN-004 v3.1 merged, as the Senior-level employee has permission to submit Office Supplies claims up to $500 without prior approval, and the claimed amount ($97.56) is below this threshold.",33.1
TXN-1121,Executive,IT,Internal / No Client,Ryanair,Travel,645.14,2026-06-06,"5-day travel for internal training in Frankfurt; includes train, 4 nights hotel",High,"The transaction exceeds the per-person cap for Executive-level employees, making it a High violation. The justification provided does not change this outcome.",31.99
TXN-1122,Senior,IT,Atlas Capture,Starbucks,Entertainment,82.91,2026-06-23,Coffee/meal with client contact just me to walk through Q3 deliverables,None,"The transaction meets all eligibility and cap requirements for a Senior employee to submit an Entertainment claim with a named client/project. The justification is clear, and there are no structural abuse concerns.",32.01
TXN-1123,Director,Operations,Kestrel Finance Partners,Sixt Rent a Car,Travel,148.52,2026-06-25,"4-day onsite client engagement; covers flights and 3 nights hotel, meals billed separately",None,"The transaction is eligible under the policy for a Director-level employee, and the claimed amount is within the per-trip cap. No violations were found.",39.07
TXN-1124,Director,Engineering,Meridian Health Systems,DB Bahn,Travel,508.25,2026-06-08,"5-day onsite client engagement; covers flights and 4 nights hotel, meals billed separately",None,"The transaction is eligible for the Director-level employee, and the claimed amount seems reasonable given the justification. There's no indication of policy non-compliance or personal expenses hidden in a wrong category.",33.16
TXN-1125,Junior,Engineering,Meridian Health Systems,Chutnify Neukölln,Entertainment,345.96,2026-06-13,Coffee/meal with client contact a group of 4 to review project milestones,High,"Junior employee attempting to claim 'Entertainment' category, which is not permitted under policy HE-FIN-004 v3.1 merged.",30.42
TXN-1126,Junior,Finance,Internal / No Client,IKEA,Office Supplies,125.68,2026-06-05,Printer paper and toner for the office,High,"Junior employee attempting to claim Office Supplies category, which they are not eligible for according to policy (Section 6 and Section 7.5).",28.06
TXN-1127,Manager,Operations,Internal / No Client,Zoom,Software,131.64,2026-06-12,Software subscription - internal tooling for the team,None,"The transaction meets all eligibility criteria, and the claimed amount is within the Manager-level cap for Software & Subscriptions. The justification provided aligns with company policy for internal tooling purchases.",30.29
TXN-1128,Manager,IT,BlueWave Logistics,Chutnify Neukölln,Entertainment,292.60,2026-06-10,Coffee/meal with client contact team of 4 to walk through Q3 deliverables,None,"The transaction appears compliant as it involves a specific client, the employee is at an eligible level, and the per-person cost is within the cap. No structural abuse or other issues were found.",36.51
TXN-1129,Director,Marketing,Internal / No Client,Chutnify Neukölln,Meals,14.12,2026-06-24,Breakfast meeting with manager to review weekly priorities (2 people),None,"The transaction meets all eligibility criteria and the per-person cost is within the allowed cap, so there is no violation.",34.95
TXN-1130,Executive,Sales,Kestrel Finance Partners,Trainline,Travel,412.43,2026-06-19,"3-day onsite client engagement; covers flights and 2 nights hotel, meals billed separately",None,"The transaction is within policy guidelines for an Executive-level employee claiming Travel expenses. The client exists, and there's no indication of abuse or misclassification.",37.79
TXN-1131,Senior,Operations,Internal / No Client,Amazon,Office Supplies,204.35,2026-06-06,Printer paper and toner for the office,None,"The transaction is compliant with policy HE-FIN-004 v3.1 merged, as the Senior employee has permission to submit Office Supplies up to $500 without prior approval, and the claimed amount ($204.35) does not exceed this threshold.",31.19
TXN-1132,Manager,Operations,Internal / No Client,Vapiano (private room),Entertainment,1303.55,2026-06-26,"Team party for Operations - team of 31, new hire welcome party",High,"The transaction is a team party organized by a Manager, which exceeds the per-person cap for Entertainment ($100) and lacks explicit client involvement. This violates Section 7.2's hosting rights rule for Managers in internal events.",39.74
TXN-1133,Executive,Marketing,Internal / No Client,Vapiano,Meals,31.18,2026-06-21,Working lunch alone between back-to-back meetings,High,"The Executive-level employee is not eligible to submit a Meals claim without a named client visit, making this transaction a Level-Restricted violation under Section 9.6 regardless of amount.",28.48
TXN-1134,Junior,Marketing,Internal / No Client,Cash Withdrawal,Miscellaneous,211.78,2026-06-21,Misc,High,"The Junior employee is not eligible to submit a Miscellaneous claim, and the per-person cost exceeds the cap for claims above $200.",63.86
TXN-1135,Executive,Finance,Internal / No Client,Staples,Office Supplies,350.75,2026-06-03,"Office chair + monitor arm bundle, single receipt",High,"The Executive employee submitted an Office Supplies claim exceeding the $500 per-person cap, which is not permitted under Section 7.5 without prior approval. The justification provided does not indicate any exceptional circumstances or prior approval reference.",27.41
TXN-1136,Executive,Engineering,BlueWave Logistics,DB Bahn,Travel,459.19,2026-06-01,"3-day onsite client engagement; covers flights and 2 nights hotel, meals billed separately",None,The transaction is eligible for an Executive-level employee and is within the per-trip cap for Flights & Trains. No other policy violations or structural abuses were found.,35.87
TXN-1137,Junior,HR,BlueWave Logistics,Sixt Rent a Car,Travel,248.19,2026-06-12,"Cab fare - rainy day, client site",High,"Junior employees are not permitted to submit Travel claims, making this a High-level policy non-compliance.",29.59
TXN-1138,Director,Engineering,Internal / No Client,Cafe Einstein,Meals,23.40,2026-06-05,Working lunch alone between back-to-back meetings,None,"The transaction is eligible for reimbursement as a solo meal by a Director employee, and the claimed amount is within the per-person cap of $100.",31.11
TXN-1139,Senior,IT,Meridian Health Systems,Cafe Einstein,Entertainment,208.60,2026-06-21,Coffee/meal with client contact (4 people) following a successful sprint demo,None,"The transaction meets all eligibility criteria and does not exceed the per-person cap. The client is named, and there are no indications of personal expenses or vague justifications.",65.03
TXN-1140,Manager,Engineering,Kestrel Finance Partners,GitHub,Software,294.17,2026-06-20,"Software subscription - design/collaboration tool, monthly seat renewal",Medium,"The transaction exceeds the per-person cost cap for Software & Subscriptions, but since it's a Manager-level employee, they are not subject to this specific cap. However, the justification does not specify a client engagement or general internal work, which is required for reimbursement.",30.57
TXN-1141,Executive,Engineering,Meridian Health Systems,Zoom,Software,125.31,2026-06-07,Software subscription - annual license renewal for the department,Medium,"The Executive employee is eligible to claim Software & Subscriptions. However, the justification for this transaction is an annual license renewal, which should be noted as supporting a specific client engagement or general internal work. The claimed amount ($125.31) exceeds the implied cap of $75/seat/month by more than 25%, making it a Medium violation.",27.07
TXN-1142,Manager,Sales,Internal / No Client,Cafe Einstein,Meals,18.76,2026-06-17,Working lunch alone between back-to-back meetings,None,"The transaction is eligible under policy, passes cap checks, and does not exhibit structural abuse. The claimed amount of $18.76 is within the allowed limits for a Manager-level employee submitting a Meals claim.",30.07
TXN-1143,Junior,Finance,Internal / No Client,Local Bakery,Entertainment,79.01,2026-06-14,"Team lunch (1 person, no guests) to debrief after sprint retro",High,"Junior employee attempting to claim 'Entertainment' category, which is not permitted for their level. This is a High-level violation due to the explicit prohibition in policy text and Appendix E.",30.25
TXN-1144,Executive,Operations,Internal / No Client,Urban Sports Club,Miscellaneous,96.18,2026-06-10,Wellness subscription,None,"The transaction meets all eligibility criteria, including category and employee level. The claimed amount is below the applicable cap for Executives in the Miscellaneous category.",38.73
TXN-1145,Manager,Engineering,Internal / No Client,MediaMarkt,Office Supplies,425.00,2026-06-08,Ergonomic chair and monitor stand,None,"The transaction meets all eligibility and cap requirements for a Manager-level employee claiming Office Supplies, with no indication of structural abuse or personal expenses hidden in the wrong category.",32.62
TXN-1146,Senior,Marketing,Nova Retail GmbH,Cash Withdrawal,Miscellaneous,442.28,2026-06-05,Trip cost,None,The Senior employee is eligible for the Miscellaneous category and the claimed amount ($442.28) is below the cap for Seniors ($600). There are no indications of structural abuse or policy non-compliance.,37.59
TXN-1147,Director,Operations,Internal / No Client,MediaMarkt,Office Supplies,204.88,2026-06-13,Monitor for hybrid home/office setup,None,"The transaction is compliant with policy as it falls within the allowed category for a Director, and the claimed amount is below the cap. Justification text appears to be sufficient.",31.71
TXN-1148,Junior,Finance,Atlas Capture,GitHub,Software,166.56,2026-06-21,Software subscription - annual license renewal for the department,High,"Junior employee attempting to claim Software & Subscription category, which is not eligible for their level. This is a High violation regardless of the amount being below the cap.",27.49
TXN-1149,Manager,Marketing,BlueWave Logistics,Lufthansa,Travel,38.20,2026-06-13,"2-day onsite client engagement; covers flights and 1 night hotel, meals billed separately",None,The transaction is compliant with policy as a Manager-level employee is eligible for Travel claims and the claimed amount ($38.20) is below the cap of $600/trip.,43.97
TXN-1150,Senior,Finance,Internal / No Client,Local Bakery,Meals,9.92,2026-06-30,Snacks for office during all-hands meeting (approx 12 people),Medium,"The transaction is technically under the math cap, but since there is no named client or project attached, it's unclear if the Senior employee has permission to submit this category. This ambiguity warrants a Medium-level violation.",34.99
TXN-1151,Junior,Marketing,Internal / No Client,Hilton Restaurant,Entertainment,190.00,2026-06-10,Team dinner (2 people) after closing out the sprint,High,"The transaction is a team dinner submitted by a Junior employee, which is not permitted under policy (Section 7.1).",32.76
TXN-1152,Manager,Marketing,Kestrel Finance Partners,DB Bahn,Travel,19.90,2026-06-02,"5-day onsite client engagement; covers flights and 4 nights hotel, meals billed separately",High,"The Manager-level employee attempted to claim a flight without prior written approval from a Director, violating the policy in Section 7.3.1.",41.83
TXN-1153,Junior,HR,Internal / No Client,Starbucks,Meals,91.76,2026-06-27,Meeting,High,"Junior employees are not permitted to submit Meals claims, making this transaction a High-level violation regardless of the amount being below the cap.",27.8
TXN-1154,Manager,Sales,Internal / No Client,Staples,Office Supplies,448.95,2026-06-02,Printer paper and toner for the office,None,"The Manager-level employee is eligible for Office Supplies claims, and the transaction amount ($448.95) does not exceed the $500 cap. No other policy violations or structural abuses were detected.",34.35
TXN-1155,Director,Operations,Atlas Capture,Starbucks,Entertainment,280.35,2026-06-09,Coffee/meal with client contact 5 of us following a successful sprint demo,None,"The Director is eligible to claim Entertainment, and the per-person cost of $280.35 is below the cap of $100. No other policy violations or structural abuses were found.",35.82
TXN-1156,Junior,Marketing,Internal / No Client,Büro König,Office Supplies,86.43,2026-06-28,Printer paper and toner for the office,Medium,"Junior employee submitted an Office Supplies claim exceeding their eligibility. Although the amount is below the $500 cap, Junior employees are not permitted to submit this category at all (Section 6).",28.49
TXN-1157,Director,IT,Internal / No Client,Vapiano,Meals,39.08,2026-06-29,Working lunch alone between back-to-back meetings,None,"The transaction meets all eligibility and cap requirements for a Director employee claiming Meals category, with a solo meal justification and a per-person cost below the $100/person cap.",33.52
TXN-1158,Senior,Operations,BlueWave Logistics,Local Shop,Miscellaneous,40.28,2026-06-29,Parking fee during client site visit,None,"The transaction meets all eligibility criteria, and the claimed amount is within the Miscellaneous category's cap for Senior employees.",32.53
TXN-1159,Junior,IT,Meridian Health Systems,Uber,Travel,291.82,2026-06-12,Train ticket for 1-day client site visit,High,"Junior employee attempting to submit a 'Travel' claim, which is not permitted under policy. The claimed amount exceeds the Manager-level cap for local ground transport, but this is irrelevant due to Junior's lack of permission.",29.76
TXN-1160,Senior,Sales,BlueWave Logistics,PayPal Transfer,Miscellaneous,163.21,2026-06-09,SIM card / local data plan for business trip,None,"The transaction meets all eligibility requirements and is within the allowed cap, with a clear justification provided.",33.33
TXN-1161,Manager,Engineering,Internal / No Client,IKEA,Office Supplies,299.99,2026-06-13,Bulk office furniture order for the floor,None,"The Manager-level employee is eligible for Office Supplies claims, and the transaction amount ($299.99) does not exceed the $500 cap. No other policy violations or structural abuses were detected.",33.58
TXN-1162,Executive,Sales,Internal / No Client,Amazon,Miscellaneous,266.83,2026-06-22,Misc,None,"The transaction meets all eligibility criteria, is below the cap, and does not exhibit any signs of structural abuse or policy non-compliance. The justification text 'Misc' is vague but does not exceed the threshold for manual review at this amount.",32.06
TXN-1163,Executive,HR,Meridian Health Systems,Slack,Software,67.92,2026-06-02,"Software subscription - design/collaboration tool, monthly seat renewal",None,"The transaction meets all eligibility criteria and is within the allowed cap for an Executive employee, with a valid justification for a software subscription renewal.",29.41
TXN-1164,Senior,Finance,Internal / No Client,IKEA,Office Supplies,228.65,2026-06-12,"Ergonomic chair, approved by manager for back issues",None,"The Senior employee is eligible for Office Supplies claims, the transaction amount is within the allowed cap, and there are no signs of structural abuse. The justification provided appears legitimate, and all policy conditions are met.",32.79
TXN-1165,Executive,Sales,Internal / No Client,MediaMarkt,Office Supplies,236.80,2026-06-25,Monitor for hybrid home/office setup,None,"The transaction meets all eligibility criteria, is below the cap for Office Supplies, and does not exhibit any signs of structural abuse. The justification provided ('Monitor for hybrid home/office setup') seems reasonable for an Office Supplies claim.",30.77
TXN-1166,Junior,HR,Nova Retail GmbH,PayPal Transfer,Miscellaneous,171.63,2026-06-29,Small hardware adapter needed for client presentation,High,"Junior employee attempting to claim Miscellaneous category, which is not eligible for their level. This is a Level-Restricted Category violation under Section 9.6, regardless of amount.",32.73
TXN-1167,Director,IT,Internal / No Client,Staples,Office Supplies,210.41,2026-06-01,Printer paper and toner for the office,None,"The transaction is compliant with all policy requirements. The Director employee has permission to submit Office Supplies, and the claimed amount ($210.41) is below the $500 cap.",31.39
TXN-1168,Manager,Operations,Internal / No Client,Staples,Office Supplies,460.50,2026-06-24,New standing desk for the desk setup,None,"The transaction is compliant with policy guidelines for a Manager-level employee claiming Office Supplies, as the amount ($460.50) is below the $500 cap and the justification seems reasonable.",28.5
TXN-1169,Executive,Operations,Internal / No Client,Local Pub Berlin,Entertainment,91.77,2026-06-01,Team dinner team of 3 after project close,None,"The transaction is eligible for an Executive employee, and the claimed amount is within the per-person cap. However, we need to consider the justification provided: 'Team dinner team of 3 after project close'. Since it's a team event, we should check if the venue is a partner or not. The merchant venue is 'Local Pub Berlin', which might not be a partner. We'll flag this for manual review due to potential misclassification.",41.39
TXN-1170,Executive,Finance,Internal / No Client,Chutnify Neukölln,Meals,18.86,2026-06-12,Solo lunch while working late on month-end close,None,"The transaction is within policy limits for an Executive employee submitting a Meals claim with no specific client attached. The claimed amount ($18.86) is below the $100 per-person cap, and the justification text appears valid.",29.69
TXN-1171,Manager,Engineering,Nova Retail GmbH,Local Shop,Miscellaneous,136.51,2026-06-28,Parking fee during client site visit,None,"The transaction is eligible under the Miscellaneous category for a Manager, does not exceed any mentioned cap, and there are no indications of structural abuse or policy non-compliance.",34.73
TXN-1172,Manager,Operations,Internal / No Client,Cafe Einstein,Meals,39.26,2026-06-10,Breakfast meeting with manager to review weekly priorities (2 people),None,"The Manager-level employee is eligible to submit a Meals claim, and the transaction amount ($39.26) is below the per-person cap of $100.",35.76
TXN-1173,Senior,HR,Internal / No Client,DB Bahn,Travel,484.13,2026-06-29,"4-day travel for internal training in Frankfurt; includes train, 3 nights hotel",None,"The transaction is eligible for a Senior employee under Section 7.3.1, and there's no indication of any cap violations or structural abuse. The justification provided seems reasonable for an internal training trip.",33.45
TXN-1174,Director,Sales,Internal / No Client,The Grand Bar,Entertainment,154.37,2026-06-25,Team dinner team of 4 after project close,High,"The Director-level employee is attempting to submit an Internal Entertainment/Team Event claim for a team dinner, but they do not have the necessary hosting rights for this category. The per-person cost exceeds the cap, making it a High violation regardless of the amount.",45.11
TXN-1175,Executive,Operations,Internal / No Client,Local Pub Berlin,Entertainment,1109.55,2026-06-18,"Team party for Operations - (39 people), half-year team celebration",None,"The Executive employee is permitted to claim Entertainment expenses with 'Internal / No Client', and the transaction does not exceed the per-person cap of $100. The justification text also supports a legitimate business purpose for the team party.",38.13
TXN-1176,Senior,Finance,Internal / No Client,Büro König,Office Supplies,337.08,2026-06-07,Replacement keyboard and mouse for desk setup,High,"The Senior employee's Office Supplies claim exceeds the $500 single-transaction cap, making it a High violation regardless of the total transaction amount or justification.",49.23
TXN-1177,Senior,Marketing,Nova Retail GmbH,Cafe Einstein,Entertainment,427.85,2026-06-15,Coffee/meal with client contact (5 people) to walk through Q3 deliverables,None,The transaction meets all eligibility criteria and does not exceed the per-person cap for Entertainment claims by Senior employees with a named client/project.,43.08
TXN-1178,Junior,Finance,Internal / No Client,The Grand Bar (private room),Entertainment,490.77,2026-06-12,"Organized team party team of 19, project wrap-up party",High,"Junior employee submitted an Entertainment claim for a team party without hosting rights and exceeded the per-person cap, making it a High violation.",29.61
TXN-1179,Junior,Engineering,Nova Retail GmbH,DB Bahn,Travel,126.03,2026-06-07,Cab to client office and back,High,"Junior employee submitted a Travel category claim without using company-arranged transport, exceeding the Manager-level cap of $40 per instance. This is an automatic violation due to lack of basic role permissions for this transaction type.",32.54
TXN-1180,Executive,Engineering,Internal / No Client,Kestrel & Vine,Entertainment,141.22,2026-06-26,Dinner,High,"The transaction is an automatic violation because the per-person cost ($141.22) exceeds the cap of $100/person for Entertainment claims by Executives, regardless of the amount being below the total cap.",42.03
TXN-1181,Executive,Operations,Internal / No Client,Five Guys,Meals,11.21,2026-06-15,Snacks for office during all-hands meeting (approx 12 people),None,"The transaction meets all eligibility criteria and is within the per-person cap for Meals category at Executive level, with no structural abuse or policy non-compliance issues identified.",31.9
TXN-1182,Executive,Operations,Internal / No Client,Five Guys,Meals,41.87,2026-06-20,Breakfast meeting with manager to review weekly priorities (2 people),High,"The Executive employee submitted a Meals claim with 'Internal / No Client', which falls under Internal Entertainment/Team Event category, not eligible for Executives, regardless of the amount being below the cap.",29.75
TXN-1183,Senior,Sales,Internal / No Client,Vapiano,Meals,30.83,2026-06-08,Breakfast meeting with manager to review weekly priorities (2 people),High,"Senior-level employee attempting to claim Meals category without a named client/project attached, violating Section 7.1 and Appendix E's eligibility rules.",29.53
TXN-1184,Manager,Engineering,Internal / No Client,Vapiano,Meals,14.18,2026-06-23,Solo lunch while working late on month-end close,None,"The transaction meets all eligibility criteria, including category, employee level, and cap compliance. No policy violations detected.",28.35
TXN-1185,Executive,HR,Internal / No Client,MediaMarkt,Office Supplies,410.20,2026-06-03,Ergonomic chair and monitor stand,Medium,"The transaction is under the category of Office Supplies, which Executive employees are eligible for. However, the claimed amount exceeds the per-person cap without prior approval, making it a Medium violation due to non-compliance with policy thresholds.",35.34
TXN-1186,Executive,IT,Internal / No Client,Kestrel & Vine,Entertainment,251.61,2026-06-20,Group dinner (3 people),None,"The transaction is eligible for an Executive employee with a per-person cost of $83.87, which is within the cap of $100. No violations were found.",39.91
TXN-1187,Director,Sales,Internal / No Client,Local Pub Berlin,Entertainment,163.46,2026-06-05,Team dinner team of 5 after project close,Medium,"The transaction is under the Director's permission level and has a valid client field, but it exceeds the per-person cap for Entertainment category.",30.02
TXN-1188,Junior,Engineering,Internal / No Client,MediaMarkt,Office Supplies,480.00,2026-06-04,Bulk office furniture order for the floor,High,"Junior employee attempting to claim Office Supplies category, which is not permitted under policy. This is a High-level violation regardless of the amount being below the cap.",27.97
TXN-1189,Manager,Sales,Kestrel Finance Partners,Lufthansa,Travel,31.40,2026-06-11,"4-day onsite client engagement; covers flights and 3 nights hotel, meals billed separately",High,"The Manager-level employee is attempting to claim flights and hotel expenses without prior written approval from a Director, which is a clear violation of the policy. The transaction amount ($31.40) does not need to be compared to any cap since it's for flights and hotel, which are subject to separate caps that were not met.",59.15
TXN-1190,Director,Engineering,Internal / No Client,Cafe Einstein,Entertainment,49.03,2026-06-20,"Team lunch solo catch-up, no client involved",None,"The transaction is eligible under the policy, and the claimed amount is within the per-person cap for Entertainment claims. No violations were found.",38.57
TXN-1191,Director,Engineering,Internal / No Client,Officeworks,Office Supplies,425.21,2026-06-07,Printer paper and toner for the office,None,"The transaction is eligible for a Director employee, within the category's cap, and does not exhibit any signs of structural abuse. It passes all checks.",31.79
TXN-1192,Director,Finance,Internal / No Client,Vapiano (private room),Entertainment,2011.35,2026-06-16,"Team party for Finance - (55 people), Q2 close celebration",High,"The Director employee lacks basic role permissions or hosting rights for this transaction type, making it an automatic High violation, even though the per-person cost is below the cap.",41.98
TXN-1193,Manager,Operations,Internal / No Client,Amazon,Office Supplies,218.05,2026-06-21,Monitor for hybrid home/office setup,None,"The transaction meets all eligibility and cap requirements for a Manager-level employee claiming Office Supplies category, with no indication of structural abuse or personal expenses hidden in the wrong category.",30.97
TXN-1194,Junior,Finance,Atlas Capture,Chutnify Neukölln,Entertainment,247.50,2026-06-02,Coffee/meal with client contact 3 of us to review project milestones,Low,"Junior employee submitted an 'Entertainment' claim, which is not eligible. The claimed amount ($247.50) exceeds the per-person cap for Client Entertainment ($100/person), but this is a Low-level violation because it's not a High-severity cap breach.",37.59
TXN-1195,Senior,HR,Internal / No Client,Amazon,Miscellaneous,400.00,2026-06-13,general purchase,Medium,"The transaction is under the cap, but the justification 'general purchase' is vague and does not provide a specific description of what was purchased or why. This warrants a Medium-level violation due to policy non-compliance.",32.59
TXN-1196,Manager,Marketing,Meridian Health Systems,Sixt Rent a Car,Travel,24.60,2026-06-28,Expense - receipt attached,None,"The transaction is eligible for reimbursement as a Manager-level employee, and the claimed amount ($24.60) is within the cap of $40 per instance for minimal, local ground transport.",35.2
TXN-1197,Manager,Sales,Atlas Capture,Hilton Restaurant,Entertainment,340.08,2026-06-06,Dinner with client team team of 3 to finalize Q3 proposal,Medium,"The Manager submitted an Entertainment claim with a total amount of $340.08, which exceeds the per-person cap of $100 by more than 25%. This is a Medium violation due to the excessive amount claimed.",45.8
TXN-1198,Manager,Finance,Internal / No Client,IKEA,Office Supplies,391.55,2026-06-17,Printer paper and toner for the office,None,"The transaction is compliant with policy HE-FIN-004 v3.1 merged, as the Manager employee is eligible for Office Supplies claims and the claimed amount ($391.55) does not exceed the $500 cap.",31.24
TXN-1199,Director,IT,Internal / No Client,Villa Kessler,Meals,181.06,2026-06-12,Dinner - 2 people,None,"The transaction meets all eligibility criteria and is within the allowed per-person cost limit, making it compliant with policy HE-FIN-004 v3.1 merged.",36.51
TXN-1200,Director,Engineering,Internal / No Client,Büro König,Office Supplies,350.75,2026-06-21,"Office chair + monitor arm bundle, single receipt",None,"The Director-level employee is eligible for Office Supplies claims, and the claimed amount ($350.75) does not exceed the $500 threshold. There are no specific conditions or caps violated in this transaction.",39.29
